"DateTime","Australia","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Norway","Philippines","Saudi Arabia","Singapore","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2020-02-21 23:51:40",,,,,,,,,,,,,,,,,,11
"2020-02-24 23:51:40",,,67,,,,,,,7,,,8,,,9,,,,,,14
"2020-02-25 23:51:40",,,,,,,,45,,,,,,,,,,,,,19
"2020-02-28 23:51:40",,,,,,,,,,,,,,,,,,13
"2020-03-01 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,2
"2020-03-02 23:51:40",,,66,,,,,,,10,,,8,,,8,,,,,,16,,,3
"2020-03-03 23:51:40",,,,,,,,42,,,,,,,,,,,,,18
"2020-03-04 23:51:40",,,,,,,3
"2020-03-06 23:51:40",,,,,,,,,,,,,,,,,,13
"2020-03-09 23:51:40",,,64,,,,,,,10,,,10,,,8,,,,,,19
"2020-03-10 23:51:40",,,,,,3,,41,,,,,,,,,,,,,20
"2020-03-11 23:51:40",,,,,,,,,,,27
"2020-03-12 23:51:40",,,,,,,,,,,,,,,,,,,8
"2020-03-13 23:51:40",,,,,,5,,,,,,,,,,,,11,,,,,,4
"2020-03-15 23:51:40",7
"2020-03-16 23:51:40",,,57,32,9,,6,,16,18,,,14,,16,33,,,,10,,25
"2020-03-17 23:51:40",,11,,,,,,44,,,,10,,6,,,,,,,21,,,,11
"2020-03-18 23:51:40",,,,,,,,,,,,,,,,,25,,,,,,16
"2020-03-19 23:51:40",,,,,,,,,,,43,,,,,,,,49
"2020-03-20 23:51:40",,,,,,37,,,26,,,,,,,,,19,,,,,,20
"2020-03-22 23:51:40",20
"2020-03-23 23:51:40",,28,62,32,10,,18,,,47,,,55,29,18,62,,,,11,,36,,,19,33
"2020-03-24 23:51:40",,,,,,,,40,,,,8,,,,,,,,,23
"2020-03-25 23:51:40",,,,,,,,,,,48,,,,,,46,,51,,,,28
