"DateTime","Australia","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Norway","Philippines","Saudi Arabia","Singapore","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2020-05-15 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,72
"2020-05-20 23:51:40",,,,,,73,,,,,,,,,,,,,81
"2020-05-21 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,74
"2020-05-22 23:51:40",76,,,,,,,,,77,,,,,,,,85
"2020-05-25 23:51:40",,,,65,,,58,75,,,,,84,,66,82,,,,71,77,81,,,,71
"2020-05-26 23:51:40",,78,77,,,,,,,,81,,,,,,,,,,,,,,65
"2020-05-27 23:51:40",,,,,,76
"2020-05-28 23:51:40",,,,,,,,,,,,,,,,,,,82
"2020-05-30 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,72
"2020-06-01 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,65
"2020-06-02 23:51:40",,,,,,,,,,,81
"2020-06-03 23:51:40",,,,,,,,,,,,,,,,,76,,,,,,80
"2020-06-04 23:51:40",,,,,,70
"2020-06-05 23:51:40",72,,,,,,,,,,,,,,,,,80,,,,,,69
"2020-06-08 23:51:40",,,74,,,,,77,,75,,,82,,,82,,,76,,70,79,,,60,69
"2020-06-09 23:51:40",,,,,,,,,,,,,,,,,,,,67
"2020-06-10 23:51:40",,,,,,,,,,,77,,,,,,75,,,,,,75
"2020-06-11 23:51:40",,76
"2020-06-12 23:51:40",,,,,,65,,,,,,,,,,,,,77
"2020-06-15 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,64
"2020-06-16 23:51:40",,,,,,,,,,,,,,,,,,,,70,,,,69
"2020-06-17 23:51:40",,,,,,65,,,,,78,,,,,,74,,,,,,78
"2020-06-18 23:51:40",,,,69,,,58
"2020-06-19 23:51:40",70,,,,,,,,,,,,,,,,,84
"2020-06-20 23:51:40",,,,,57
"2020-06-21 23:51:40",,,,,,,,,,,,,,,,,,,69
"2020-06-22 23:51:40",,,73,,,,,72,,77,,,85,,,80,,,,,69,77,,,63,65
"2020-06-23 23:51:40",,,,,,,,,,,76
"2020-06-24 23:51:40",,,,,,69
"2020-06-25 23:51:40",,,,,,,,,,,,,,,,,,,75,,,,,69
"2020-06-26 23:51:40",,75
"2020-07-01 23:51:40",,,,,,67
"2020-07-02 23:51:40",,,,,,,59
"2020-07-03 23:51:40",72,,,,,,,,,,,,,,,,,,,,,,,73
"2020-07-05 23:51:40",,,,,,,,,,,,,,,,,,,,,,,76
"2020-07-06 23:51:40",,,75,,,,,69,,75,,,82,,,81,,,,,71,76,,,66,62
"2020-07-07 23:51:40",,73,,,,,,,,,74,,,,,,,80
"2020-07-09 23:51:40",,,,,,,,,,,,,,,,,,,75
"2020-07-12 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,67
"2020-07-13 23:51:40",,,,,,,,,,,,,,,,,76,,,,,,79
"2020-07-14 23:51:40",,,,,,,,,,,74,,,,,,,,,,,,,,69
"2020-07-16 23:51:40",,,,,,67,62,,,,,,,,,,,,76
"2020-07-20 23:51:40",,,68,,,,,,,74,,,79,,,79,,81,,,66,80,,,65,68
"2020-07-21 23:51:40",,76,,,,,,76,,,72,,,,,,,,,,,,74
"2020-07-22 23:51:40",,,,,,68
"2020-07-23 23:51:40",,,,,,,,,,,,,,,,,,,77
"2020-07-26 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,63
"2020-07-27 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,65
"2020-07-28 23:51:40",,,,,,,,,,,74
"2020-07-29 23:51:40",,,,,,,,,,,,,,,,,72,,,,,,74
"2020-07-30 23:51:40",,,,,,,61,,,,,,,,,,,,79
"2020-07-31 23:51:40",,,,,,72,,,,,,,,,,,,,,,,,,65
"2020-08-02 23:51:40",71
"2020-08-03 23:51:40",,,,,,,,,,73,,,78,,,80,,75,,,65,74,,,64,66
"2020-08-04 23:51:40",,75,73,,,,,80
"2020-08-06 23:51:40",,,,,,,,,,,,,,,,,,,78
"2020-08-07 23:51:40",,,,,,70,,,,,,,,,,,,,,,,,,64
"2020-08-10 23:51:40",,,,,,,,,,,,,,,,,72,,,,,,,,70
"2020-08-11 23:51:40",,,,,,,,,,,,,,,,,,,,,,,73
"2020-08-12 23:51:40",,,,,,70,,,,,,,,,,,,,,,,,,67
"2020-08-13 23:51:40",,,,,,,62
"2020-08-14 23:51:40",,,,,,,,,,,,,,,,,,76
"2020-08-17 23:51:40",,,69,,,,,,,70,,,82,,,84,,,,,68,71,,,64,75
"2020-08-18 23:51:40",,,,,,,,78,,,74
"2020-08-19 23:51:40",,,,,,,,,,,,,,,,,68
"2020-08-24 23:51:40",,76,,,,,,,,,,,,,,,,,,,,,71
"2020-08-25 23:51:40",,,,,,,,,,,72,,,,,,,,78,,,,,61,62
"2020-08-27 23:51:40",,,,,,,61
"2020-08-28 23:51:40",,,,,,,,,,,,,,,,,,76
"2020-08-30 23:51:40",73
"2020-08-31 23:51:40",,,71,,,,,75,,70,74,,81,,,83,69,,,,68,66,,,,68
"2020-09-01 23:51:40",,74,,,,,,,,,,,,,,,,,,,,,,,62
"2020-09-02 23:51:40",,,,,,67
"2020-09-04 23:51:40",,,,,,,,,,,,,,,,,,,80
"2020-09-06 23:51:40",,,,,65
"2020-09-08 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,58,64
"2020-09-09 23:51:40",,,,,,,,,,,77
"2020-09-10 23:51:40",,,,,,68,59,,,,,,,,,,,,81
"2020-09-11 23:51:40",,,,,,,,,,,,,,,,,,72,,63
"2020-09-13 23:51:40",,,,65
"2020-09-14 23:51:40",,,68,,,,,,,75,,,79,,63,85,,,,,68,63,,,65,65
"2020-09-15 23:51:40",,,,,,,,73
"2020-09-16 23:51:40",,,,,,,,,,,75,,,,,,,,,,,,,63
"2020-09-18 23:51:40",,,,,,,,,,,,,,,,,,,80
"2020-09-20 23:51:40",,,,,59
"2020-09-21 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,63
"2020-09-22 23:51:40",,,,,,68
"2020-09-23 23:51:40",,,,66,,,,,,,,,,,,,,,79,56
"2020-09-24 23:51:40",,,,,,,60
"2020-09-25 23:51:40",,,,,,,,,,,,,,,,,,70
"2020-09-27 23:51:40",,,,,,,,,,,,,,,61
"2020-09-28 23:51:40",,,67,,,,,76,,72,,,82,,,82,,,,,68,67,,,64,65
"2020-09-29 23:51:40",,,,,,,,,,,76,,,,,,,,,,,,,65
"2020-09-30 23:51:40",,,,,,64,,,,,,,,,,,62,,80,,,,70
"2020-10-06 23:51:40",,,,,,,,,,,79,,,,,,,,,,,,,,65
"2020-10-07 23:51:40",,,,,,,,,,,,,,,,,69,,,,,,72,61
"2020-10-08 23:51:40",,,,,,,61
"2020-10-09 23:51:40",,,,,,,,,,,,,,,,,,70,,58
"2020-10-11 23:51:40",,,,,,,,,,,,,,,62
"2020-10-12 23:51:40",,,65,58,66,,,75,,72,,,87,,,83,,,,,63,69,,,65,66
"2020-10-13 23:51:40",,,,,,,,,,,79
"2020-10-14 23:51:40",,,,,,,,,,,,,,,,,67,,,,,,74
"2020-10-15 23:51:40",,,,,,71
"2020-10-16 23:51:40",,,,,,,,,,,,,,,,,,,79
"2020-10-19 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,62
"2020-10-20 23:51:40",,,,,,,,,,,78
"2020-10-22 23:51:40",,,,,,69,61,,,,,,,,,,,,,,,,,62
"2020-10-23 23:51:40",,,,,,,,,,,,,,,,,,70
"2020-10-26 23:51:40",,,,,,,,,,75,,,87,,,79,,,,,,70,,,64,68
"2020-10-27 23:51:40",,,,,,,,73,,,81,,,,,,,,,,68
"2020-10-28 23:51:40",,,,,,71
"2020-10-30 23:51:40",,72
"2020-11-02 23:51:40",,,,,,,,,,,,,,,,,66,,,,,,73,,67
"2020-11-03 23:51:40",,,,,60,,,,,,85,,,,,,,,,69
"2020-11-04 23:51:40",,,,,,73,67,,,,,,,,,,,,79
"2020-11-05 23:51:40",,,,65
"2020-11-06 23:51:40",,,,,,,,,,,,,,,,,,69
"2020-11-09 23:51:40",,,,,,,,72,,70,,,87,,66,81,69,,,,65,68,,,65,63
"2020-11-10 23:51:40",,,,,,,,,,,82
"2020-11-11 23:51:40",,,,,,,,,,,,,,,,,,,,,,,68
"2020-11-12 23:51:40",,,,,62
"2020-11-16 23:51:40",,,,,,,,,,,,,,,,,,,81,,,,,,68
"2020-11-17 23:51:40",,,,,,,,,,,82,,,,,,69
"2020-11-18 23:51:40",,,,67,,74,,,,,,,,,,,,,,,,,,63
"2020-11-20 23:51:40",,,,,,,,,,,,,,,,,,73,,70
"2020-11-22 23:51:40",,,,,,,,,,,,,,,70
"2020-11-23 23:51:40",,,,,,,,,,71,,,85,,,80,,,77,,,71,,,,65
"2020-11-24 23:51:40",,,,,,,,71,,,,,,,,,,,,,65
"2020-11-25 23:51:40",,,,,,70
"2020-11-26 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,62
